,precision,recall,f1-score,support
nv,0.9308108108108109,0.643979057591623,0.7612732095490716,1337
mel,0.2808641975308642,0.41743119266055045,0.33579335793357934,218
bkl,0.3709090909090909,0.46788990825688076,0.41379310344827586,218
bcc,0.3611111111111111,0.52,0.4262295081967213,100
akiec,0.21052631578947367,0.5161290322580645,0.29906542056074764,62
vasc,0.5,0.78125,0.6097560975609756,32
df,0.112,0.5,0.1830065359477124,28
