concept_name,group_norm,is_zeroed
asymmetry,4.889127731323242,False
border_irregularity,4.793385028839111,False
colour_variation,4.921322345733643,False
diameter_large,5.383552551269531,False
atypical_pigment_network,5.009367942810059,False
blue_white_veil,4.814469337463379,False
atypical_vascular_pattern,4.967643737792969,False
irregular_streaks,5.367981910705566,False
irregular_pigmentation,4.453563690185547,False
irregular_dots_globules,4.854441165924072,False
regression_structures,4.5832953453063965,False
symmetric_uniform,5.131246566772461,False
reticular_network,5.2592387199401855,False
arborizing_vessels,5.112372875213623,False
blue_grey_ovoid_nests,4.851924896240234,False
ulceration,4.793619632720947,False
scaly_surface,5.135631561279297,False
strawberry_pattern,4.951289176940918,False
milia_like_cysts,4.941107273101807,False
comedo_like_openings,4.608213424682617,False
cerebriform_surface,4.859991073608398,False
central_white_patch,4.602996349334717,False
red_lacunae,5.088223934173584,False
healthy_skin,4.734185218811035,False
