,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5968,0.1129,0.1452,0.0323,0.0484,0.0323,0.0323
bcc,0.14,0.48,0.06,0.09,0.09,0.07,0.07
bkl,0.1743,0.0872,0.3807,0.0275,0.2064,0.1147,0.0092
df,0.0714,0.0357,0.0714,0.4286,0.0357,0.25,0.1071
mel,0.133,0.0596,0.1284,0.0275,0.4587,0.1743,0.0183
nv,0.0546,0.0479,0.0553,0.0531,0.1481,0.6268,0.0142
vasc,0.0,0.125,0.0,0.0,0.0625,0.0625,0.75
