# seed=42
lambda,n_active,val_loss,val_balacc,val_auc,actual_epochs,concepts_just_eliminated,norm_asymmetry,norm_border_irregularity,norm_colour_variation,norm_diameter_large,norm_atypical_pigment_network,norm_blue_white_veil,norm_atypical_vascular_pattern,norm_irregular_streaks,norm_irregular_pigmentation,norm_irregular_dots_globules,norm_regression_structures,norm_symmetric_uniform,norm_reticular_network,norm_arborizing_vessels,norm_blue_grey_ovoid_nests,norm_ulceration,norm_scaly_surface,norm_strawberry_pattern,norm_milia_like_cysts,norm_comedo_like_openings,norm_cerebriform_surface,norm_central_white_patch,norm_red_lacunae,norm_healthy_skin
1.0,24,1.3332090228796005,0.5713901283940618,0.8486438365701708,6,,7.28292179107666,7.097355365753174,7.236632347106934,7.139680862426758,7.112254619598389,6.9619832038879395,6.8909430503845215,6.910127639770508,6.743749618530273,7.14323616027832,7.304258346557617,6.693359375,7.0304789543151855,6.831863880157471,7.361385822296143,7.4794840812683105,7.058028221130371,6.769449710845947,7.417393207550049,7.218535900115967,7.243869304656982,6.851929664611816,7.440170764923096,6.915812969207764
1.1,24,1.3440235331654549,0.5816689159103584,0.8463113446130144,10,,7.014138698577881,6.742963790893555,6.9132609367370605,6.861621856689453,6.790558815002441,6.694065570831299,6.604879856109619,6.558987140655518,6.487743377685547,6.78172492980957,6.964592456817627,6.350446701049805,6.858650207519531,6.562258243560791,7.063790321350098,7.204250335693359,6.800492286682129,6.454654216766357,7.063716411590576,6.982701301574707,7.049073696136475,6.705083847045898,7.207515239715576,6.694301128387451
1.2100000000000002,24,1.3213651925325394,0.5984128276269155,0.8489103610496402,10,,6.763526439666748,6.437380313873291,6.636868476867676,6.6109466552734375,6.501832962036133,6.484058856964111,6.349278450012207,6.246916770935059,6.249816417694092,6.417272090911865,6.637700080871582,6.054182052612305,6.723761558532715,6.33137845993042,6.822758197784424,6.905799388885498,6.602360248565674,6.134817600250244,6.816160678863525,6.816644668579102,6.889762878417969,6.586658477783203,6.9872331619262695,6.45281982421875
1.3310000000000004,24,1.334824025630951,0.5869406391741679,0.8456561776267084,9,,6.5768842697143555,6.150082588195801,6.37355375289917,6.321504592895508,6.259830474853516,6.3087873458862305,6.119624614715576,5.985594749450684,6.049112319946289,6.085413932800293,6.365072250366211,5.8051862716674805,6.567530155181885,6.117515563964844,6.6204833984375,6.662292003631592,6.409398078918457,5.87130069732666,6.539531707763672,6.657926082611084,6.762817859649658,6.476233959197998,6.79249906539917,6.249716281890869
1.4641000000000004,24,1.3009707406163216,0.5816614188236012,0.8442952492025463,10,,6.367460250854492,5.804263114929199,6.133003234863281,6.056427001953125,5.958057880401611,6.052177429199219,5.844132900238037,5.715330123901367,5.824692249298096,5.7552618980407715,6.078278541564941,5.5347065925598145,6.4335503578186035,5.886198997497559,6.402072906494141,6.408783435821533,6.240785121917725,5.609591960906982,6.265836238861084,6.51516056060791,6.6031622886657715,6.333846569061279,6.564108848571777,5.984919548034668
1.6105100000000006,24,1.3099654614925385,0.5804772460300648,0.8467222430716914,10,,6.167858123779297,5.464427471160889,5.875945091247559,5.785915851593018,5.702477931976318,5.861928939819336,5.566269874572754,5.476400375366211,5.653631210327148,5.439806938171387,5.78782844543457,5.231400966644287,6.280660629272461,5.680340766906738,6.2036542892456055,6.115941524505615,6.061469554901123,5.335675239562988,5.963027000427246,6.374037742614746,6.436676502227783,6.23395299911499,6.293250560760498,5.790042400360107
1.7715610000000008,24,1.2811121419072151,0.6032636976610186,0.8507964648274899,10,,5.918184757232666,5.1255998611450195,5.631481170654297,5.504865646362305,5.4402947425842285,5.664236545562744,5.30409574508667,5.204178333282471,5.429590702056885,5.100808620452881,5.467128753662109,4.932577133178711,6.126917839050293,5.48042106628418,5.969220161437988,5.887935638427734,5.864336967468262,5.054460048675537,5.653965950012207,6.204104900360107,6.2743635177612305,6.109887599945068,6.111910343170166,5.567091941833496
1.9487171000000012,24,1.2808514758944511,0.5911786706916653,0.8495692440298503,10,,5.7065815925598145,4.788282871246338,5.386212348937988,5.272686958312988,5.184373378753662,5.435574531555176,4.999078273773193,4.923775672912598,5.186192035675049,4.764050006866455,5.163997650146484,4.609232425689697,5.984880447387695,5.246306896209717,5.768612861633301,5.59916877746582,5.66684627532959,4.818875789642334,5.3255534172058105,6.028530597686768,6.138294696807861,5.990050315856934,5.867424488067627,5.396596431732178
2.1435888100000016,24,1.3057273477315903,0.5814724840896537,0.8502807885971878,10,,5.49062442779541,4.451686859130859,5.128269195556641,5.041354656219482,4.941856384277344,5.178307056427002,4.69746208190918,4.634254455566406,4.955582141876221,4.40730094909668,4.826119899749756,4.321691036224365,5.767867565155029,5.008315563201904,5.527442932128906,5.338342666625977,5.497623920440674,4.558389663696289,4.994584560394287,5.791938304901123,5.947713851928711,5.8574652671813965,5.629726886749268,5.163514137268066
2.357947691000002,24,1.2813958302140236,0.5831724489009803,0.8507349584615725,10,,5.219629764556885,4.048565864562988,4.898608684539795,4.8227152824401855,4.677759647369385,4.98148250579834,4.3770833015441895,4.376602649688721,4.734170913696289,4.0342793464660645,4.489750862121582,3.9355223178863525,5.616313934326172,4.74762487411499,5.283064365386963,5.084804534912109,5.314054012298584,4.320011138916016,4.647101402282715,5.6175336837768555,5.748410701751709,5.732757568359375,5.428403377532959,4.939064025878906
