,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.6129,0.0806,0.1613,0.0323,0.0484,0.0323,0.0323
bcc,0.16,0.34,0.11,0.12,0.06,0.08,0.13
bkl,0.1606,0.078,0.4312,0.0275,0.1927,0.0963,0.0138
df,0.1429,0.0,0.0357,0.5,0.0714,0.1429,0.1071
mel,0.1239,0.0367,0.1743,0.0321,0.4541,0.156,0.0229
nv,0.0546,0.0269,0.0711,0.095,0.1638,0.5632,0.0254
vasc,0.0,0.0938,0.0,0.0,0.0625,0.0938,0.75
