concept_id,range,curvature
scaly_surface,25.481313705444336,0.8596397550377722
red_lacunae,20.893497467041016,0.5719712014962632
irregular_pigmentation,18.684139251708984,1.6258274169008176
central_white_patch,18.662784576416016,0.974885442527244
reticular_network,14.99171257019043,1.4375782019936647
colour_variation,12.854093551635742,1.5345553538729721
irregular_dots_globules,12.389545440673828,0.81254182678891
asymmetry,11.90372085571289,1.349993419858692
atypical_pigment_network,11.843830108642578,0.8499738030618624
blue_white_veil,11.034801483154297,1.0956865126821258
irregular_streaks,10.45101547241211,0.8924175046758658
milia_like_cysts,10.007349014282227,0.745361268387019
diameter_large,9.816884994506836,0.5636741090435661
comedo_like_openings,8.632919311523438,0.656075698430208
arborizing_vessels,8.4456787109375,0.8365596729063641
ulceration,8.419818878173828,0.8375257209572947
atypical_vascular_pattern,8.306803703308105,0.6475837811409797
blue_grey_ovoid_nests,8.261513710021973,0.6214971648030978
cerebriform_surface,8.113451957702637,0.5190460029041843
symmetric_uniform,8.034594535827637,0.7529652295697118
healthy_skin,6.506105422973633,1.0351738982482406
regression_structures,6.331147193908691,0.3580191127912492
border_irregularity,6.080316066741943,1.0064321946035204
strawberry_pattern,5.418511390686035,1.2469733210803164
