,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.629,0.1129,0.1452,0.0323,0.0323,0.0323,0.0161
bcc,0.17,0.5,0.06,0.08,0.07,0.07,0.05
bkl,0.1422,0.0872,0.4128,0.0229,0.2156,0.1101,0.0092
df,0.1786,0.0357,0.0714,0.3571,0.0357,0.1786,0.1429
mel,0.1239,0.0688,0.1422,0.0275,0.4633,0.156,0.0183
nv,0.0419,0.0404,0.0598,0.0426,0.1496,0.6507,0.015
vasc,0.0,0.125,0.0,0.0,0.0625,0.0625,0.75
