,precision,recall,f1-score,support,auc
nv,0.9113924050632911,0.5385190725504861,0.6770098730606487,1337,0.8220509101490657
mel,0.2523364485981308,0.37155963302752293,0.300556586270872,218,0.726112972590646
bkl,0.2982456140350877,0.46788990825688076,0.36428571428571427,218,0.7610471209594565
bcc,0.24175824175824176,0.22,0.23036649214659685,100,0.850849604221636
akiec,0.18562874251497005,0.5,0.27074235807860264,62,0.8453765665937952
vasc,0.2727272727272727,0.75,0.4,32,0.959739556800815
df,0.0663265306122449,0.4642857142857143,0.11607142857142858,28,0.8334846394073643
