,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5,0.0484,0.2258,0.1129,0.0645,0.0161,0.0323
bcc,0.16,0.22,0.13,0.23,0.06,0.08,0.12
bkl,0.1468,0.0642,0.4679,0.0413,0.1697,0.1009,0.0092
df,0.1786,0.0,0.0714,0.4643,0.0357,0.1071,0.1429
mel,0.0734,0.0596,0.2844,0.0321,0.3716,0.156,0.0229
nv,0.0501,0.0284,0.1114,0.1017,0.1406,0.5385,0.0292
vasc,0.0,0.0312,0.0,0.0312,0.125,0.0625,0.75
