epoch,train_loss,val_loss,val_balanced_acc,lr,r_perp_train,r_perp_val
1,1.7658999782454858,1.4598649740219116,0.47544333568251734,0.001,0.17820740577120048,0.3093135356903076
2,1.5105289873503511,1.4211554527282715,0.5116166118683342,0.001,0.2080183499134504,0.3149350881576538
3,1.4305015182695375,1.3622870445251465,0.5088402252858545,0.001,0.21981831009571368,0.31798285245895386
4,1.3923443526720292,1.2861143350601196,0.5416798039952007,0.001,0.2203313410282135,0.3046829402446747
5,1.3048812361411792,1.2920238971710205,0.5560278350426094,0.001,0.22320089603845888,0.2910034954547882
6,1.3076277521428321,1.2560698986053467,0.5517309751565174,0.001,0.21496822169193855,0.27990514039993286
7,1.2912922653890098,1.25110924243927,0.565530268522845,0.001,0.21653015796954816,0.2771281599998474
8,1.260914776035593,1.1947721242904663,0.5713936736095094,0.001,0.2101729896206122,0.27321508526802063
9,1.248671393740101,1.2201746702194214,0.5694896207541192,0.001,0.21089003063165224,0.2718586325645447
10,1.2676933871622422,1.2336262464523315,0.5568411430746856,0.001,0.21241227594705728,0.2738361656665802
11,1.2503635580533399,1.2404578924179077,0.5784802684705915,0.001,0.21149990019889978,0.2693854570388794
12,1.2193650477854827,1.2288602590560913,0.5731899680351168,0.001,0.2141549065709114,0.27402055263519287
13,1.2172579151565355,1.193291187286377,0.5770339611654544,0.001,0.21439933834167627,0.26324084401130676
14,1.1807980035285517,1.2036782503128052,0.5968815581559961,0.001,0.21403805338419402,0.2650660574436188
15,1.1907015415312696,1.1903092861175537,0.5866249518448348,0.001,0.2137718257995752,0.2629528045654297
16,1.178963178367484,1.172782063484192,0.6038278825812867,0.001,0.21175612738499275,0.2542405128479004
17,1.176025649384626,1.212180733680725,0.5706666299437877,0.001,0.21072675058474907,0.2547265589237213
18,1.2112049141017696,1.1967267990112305,0.6040047067906196,0.001,0.20978801124371016,0.25324833393096924
19,1.1802104905486421,1.2158961296081543,0.5854212535211017,0.001,0.20891650307636994,0.2511690557003021
20,1.1643790155533296,1.1555052995681763,0.6005212737226586,0.001,0.21032032943688905,0.2465076446533203
21,1.1732871057197676,1.1632459163665771,0.5788584364435171,0.001,0.20950675698427054,0.24726331233978271
22,1.1668132992105251,1.1575130224227905,0.6118742009659319,0.001,0.20743884662022957,0.24525299668312073
23,1.1549401361513219,1.1682024002075195,0.5857035036486333,0.001,0.20740383003766721,0.2428167462348938
24,1.1484269440164832,1.1784218549728394,0.596925516410316,0.001,0.20429073503384224,0.2379554957151413
25,1.175793426842318,1.1735140085220337,0.5970201217472692,0.001,0.20636472335228553,0.2353304922580719
26,1.1593043620227785,1.2356091737747192,0.567928917366247,0.001,0.20590131959089866,0.23480920493602753
27,1.1209582971143286,1.1672375202178955,0.6082124578398679,0.001,0.20642699301242828,0.23741412162780762
28,1.1521777221102945,1.1651597023010254,0.5991564348369137,0.001,0.20599424036649558,0.23526209592819214
29,1.118739069481626,1.1607860326766968,0.5843879306591316,0.0005,0.2066013102348034,0.23363396525382996
30,1.1088033382398268,1.1601142883300781,0.5964707445666558,0.0005,0.20637422570815453,0.2284819781780243
31,1.114620834028096,1.167054295539856,0.5813545014520901,0.0005,0.20354885092148414,0.22810134291648865
32,1.1146376890979672,1.1659187078475952,0.5820817081254431,0.0005,0.20425616663235885,0.2284495085477829
33,1.0941134231015264,1.1729403734207153,0.5962352009403818,0.0005,0.20529557306032914,0.22796320915222168
34,1.0950392604541734,1.1730694770812988,0.5970955496605715,0.0005,0.20436566609602708,0.227262943983078
35,1.0929565197907112,1.1765059232711792,0.5943734548698228,0.00025,0.20387420860620645,0.22791367769241333
36,1.0931967372452236,1.1661068201065063,0.5995442043950225,0.00025,0.20438698965769547,0.2264893352985382
37,1.0774586056268574,1.1656839847564697,0.6003145533315039,0.00025,0.20446211730058378,0.22627577185630798
