,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5419,0.1258,0.171,0.0419,0.0484,0.0387,0.0323
bcc,0.158,0.366,0.136,0.112,0.078,0.058,0.092
bkl,0.1514,0.0835,0.4495,0.0229,0.1761,0.1037,0.0128
df,0.1429,0.0643,0.0857,0.4,0.0643,0.1143,0.1286
mel,0.1147,0.0486,0.1881,0.0321,0.4303,0.1587,0.0275
nv,0.0479,0.0292,0.0865,0.0814,0.1514,0.5785,0.0253
vasc,0.0,0.1188,0.0,0.0188,0.0688,0.075,0.7188
