,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5323,0.0806,0.1935,0.0484,0.0645,0.0484,0.0323
bcc,0.15,0.32,0.16,0.13,0.07,0.06,0.11
bkl,0.1055,0.0688,0.4587,0.0183,0.2431,0.0917,0.0138
df,0.1429,0.0357,0.1071,0.3929,0.0714,0.1071,0.1429
mel,0.1009,0.055,0.1835,0.0183,0.4771,0.1376,0.0275
nv,0.0583,0.0404,0.08,0.0651,0.1975,0.5318,0.0269
vasc,0.0,0.0938,0.0,0.0,0.0938,0.0938,0.7188
