concept_id,x_value,class,contribution
asymmetry,-2.77250075340271,akiec,0.6863988637924194
asymmetry,-2.77250075340271,bcc,0.2570357322692871
asymmetry,-2.77250075340271,bkl,-0.15014581382274628
asymmetry,-2.77250075340271,df,0.17047221958637238
asymmetry,-2.77250075340271,mel,-0.34488704800605774
asymmetry,-2.77250075340271,nv,-0.40368005633354187
asymmetry,-2.77250075340271,vasc,-0.1827133595943451
asymmetry,-2.7476449012756348,akiec,0.6802438497543335
asymmetry,-2.7476449012756348,bcc,0.25414252281188965
asymmetry,-2.7476449012756348,bkl,-0.14871524274349213
asymmetry,-2.7476449012756348,df,0.1683296412229538
asymmetry,-2.7476449012756348,mel,-0.34081754088401794
asymmetry,-2.7476449012756348,nv,-0.3992024064064026
asymmetry,-2.7476449012756348,vasc,-0.1811562329530716
asymmetry,-2.7227890491485596,akiec,0.6740887761116028
asymmetry,-2.7227890491485596,bcc,0.251249223947525
asymmetry,-2.7227890491485596,bkl,-0.1472846418619156
asymmetry,-2.7227890491485596,df,0.16618698835372925
asymmetry,-2.7227890491485596,mel,-0.336747944355011
asymmetry,-2.7227890491485596,nv,-0.39472466707229614
asymmetry,-2.7227890491485596,vasc,-0.17959916591644287
asymmetry,-2.6979331970214844,akiec,0.6679337024688721
asymmetry,-2.6979331970214844,bcc,0.2483559548854828
asymmetry,-2.6979331970214844,bkl,-0.14585408568382263
asymmetry,-2.6979331970214844,df,0.16404440999031067
asymmetry,-2.6979331970214844,mel,-0.33267831802368164
asymmetry,-2.6979331970214844,nv,-0.39024704694747925
asymmetry,-2.6979331970214844,vasc,-0.17804202437400818
asymmetry,-2.673077344894409,akiec,0.6617787480354309
asymmetry,-2.673077344894409,bcc,0.24546270072460175
asymmetry,-2.673077344894409,bkl,-0.14442354440689087
asymmetry,-2.673077344894409,df,0.16190177202224731
asymmetry,-2.673077344894409,mel,-0.32860875129699707
asymmetry,-2.673077344894409,nv,-0.38576939702033997
asymmetry,-2.673077344894409,vasc,-0.17648491263389587
asymmetry,-2.648221492767334,akiec,0.6556236743927002
asymmetry,-2.648221492767334,bcc,0.24256941676139832
asymmetry,-2.648221492767334,bkl,-0.14299297332763672
asymmetry,-2.648221492767334,df,0.1597590446472168
asymmetry,-2.648221492767334,mel,-0.3245391547679901
asymmetry,-2.648221492767334,nv,-0.38129159808158875
asymmetry,-2.648221492767334,vasc,-0.17492777109146118
asymmetry,-2.623365640640259,akiec,0.6494686603546143
asymmetry,-2.623365640640259,bcc,0.23967617750167847
asymmetry,-2.623365640640259,bkl,-0.14156244695186615
asymmetry,-2.623365640640259,df,0.157616525888443
asymmetry,-2.623365640640259,mel,-0.3204696774482727
asymmetry,-2.623365640640259,nv,-0.37681400775909424
asymmetry,-2.623365640640259,vasc,-0.17337070405483246
asymmetry,-2.5985097885131836,akiec,0.6433135271072388
asymmetry,-2.5985097885131836,bcc,0.23678284883499146
asymmetry,-2.5985097885131836,bkl,-0.14013183116912842
asymmetry,-2.5985097885131836,df,0.15547382831573486
asymmetry,-2.5985097885131836,mel,-0.3163999915122986
asymmetry,-2.5985097885131836,nv,-0.372336208820343
asymmetry,-2.5985097885131836,vasc,-0.17181357741355896
asymmetry,-2.5736539363861084,akiec,0.6371585130691528
asymmetry,-2.5736539363861084,bcc,0.2338895946741104
asymmetry,-2.5736539363861084,bkl,-0.13870124518871307
asymmetry,-2.5736539363861084,df,0.15333124995231628
asymmetry,-2.5736539363861084,mel,-0.312330424785614
asymmetry,-2.5736539363861084,nv,-0.3678585886955261
asymmetry,-2.5736539363861084,vasc,-0.17025648057460785
asymmetry,-2.548798084259033,akiec,0.6310034394264221
asymmetry,-2.548798084259033,bcc,0.23099632561206818
asymmetry,-2.548798084259033,bkl,-0.13727068901062012
asymmetry,-2.548798084259033,df,0.15118859708309174
asymmetry,-2.548798084259033,mel,-0.30826088786125183
asymmetry,-2.548798084259033,nv,-0.36338090896606445
asymmetry,-2.548798084259033,vasc,-0.16869938373565674
asymmetry,-2.523942232131958,akiec,0.6248483657836914
asymmetry,-2.523942232131958,bcc,0.22810305655002594
asymmetry,-2.523942232131958,bkl,-0.13584014773368835
asymmetry,-2.523942232131958,df,0.1490459442138672
asymmetry,-2.523942232131958,mel,-0.30419132113456726
asymmetry,-2.523942232131958,nv,-0.358903169631958
asymmetry,-2.523942232131958,vasc,-0.16714222729206085
asymmetry,-2.499086380004883,akiec,0.6186934113502502
asymmetry,-2.499086380004883,bcc,0.2252098023891449
asymmetry,-2.499086380004883,bkl,-0.1344096064567566
asymmetry,-2.499086380004883,df,0.14690330624580383
asymmetry,-2.499086380004883,mel,-0.3001216948032379
asymmetry,-2.499086380004883,nv,-0.35442548990249634
asymmetry,-2.499086380004883,vasc,-0.16558508574962616
asymmetry,-2.4742305278778076,akiec,0.6125383377075195
asymmetry,-2.4742305278778076,bcc,0.22231650352478027
asymmetry,-2.4742305278778076,bkl,-0.13297899067401886
asymmetry,-2.4742305278778076,df,0.1447606384754181
asymmetry,-2.4742305278778076,mel,-0.29605209827423096
asymmetry,-2.4742305278778076,nv,-0.3499477803707123
asymmetry,-2.4742305278778076,vasc,-0.16402800381183624
asymmetry,-2.4493746757507324,akiec,0.6063833236694336
asymmetry,-2.4493746757507324,bcc,0.21942327916622162
asymmetry,-2.4493746757507324,bkl,-0.1315484344959259
asymmetry,-2.4493746757507324,df,0.14261801540851593
asymmetry,-2.4493746757507324,mel,-0.29198259115219116
asymmetry,-2.4493746757507324,nv,-0.3454700708389282
asymmetry,-2.4493746757507324,vasc,-0.16247087717056274
asymmetry,-2.4245188236236572,akiec,0.6002282500267029
asymmetry,-2.4245188236236572,bcc,0.2165299654006958
asymmetry,-2.4245188236236572,bkl,-0.13011786341667175
asymmetry,-2.4245188236236572,df,0.14047543704509735
asymmetry,-2.4245188236236572,mel,-0.28791290521621704
asymmetry,-2.4245188236236572,nv,-0.34099245071411133
asymmetry,-2.4245188236236572,vasc,-0.16091381013393402
asymmetry,-2.399662971496582,akiec,0.5940732359886169
asymmetry,-2.399662971496582,bcc,0.21363674104213715
asymmetry,-2.399662971496582,bkl,-0.1286872923374176
asymmetry,-2.399662971496582,df,0.1383328139781952
asymmetry,-2.399662971496582,mel,-0.28384336829185486
asymmetry,-2.399662971496582,nv,-0.33651477098464966
asymmetry,-2.399662971496582,vasc,-0.1593567281961441
asymmetry,-2.374807119369507,akiec,0.587918221950531
asymmetry,-2.374807119369507,bcc,0.2107435017824173
asymmetry,-2.374807119369507,bkl,-0.12725678086280823
asymmetry,-2.374807119369507,df,0.13619016110897064
asymmetry,-2.374807119369507,mel,-0.2797738313674927
asymmetry,-2.374807119369507,nv,-0.332037091255188
asymmetry,-2.374807119369507,vasc,-0.15779957175254822
asymmetry,-2.3499512672424316,akiec,0.5817631483078003
asymmetry,-2.3499512672424316,bcc,0.2078501582145691
asymmetry,-2.3499512672424316,bkl,-0.1258261501789093
asymmetry,-2.3499512672424316,df,0.1340475082397461
asymmetry,-2.3499512672424316,mel,-0.27570420503616333
asymmetry,-2.3499512672424316,nv,-0.32755935192108154
asymmetry,-2.3499512672424316,vasc,-0.1562424898147583
asymmetry,-2.3250954151153564,akiec,0.5756080746650696
asymmetry,-2.3250954151153564,bcc,0.20495688915252686
asymmetry,-2.3250954151153564,bkl,-0.12439554184675217
asymmetry,-2.3250954151153564,df,0.13190487027168274
asymmetry,-2.3250954151153564,mel,-0.27163460850715637
asymmetry,-2.3250954151153564,nv,-0.3230816423892975
asymmetry,-2.3250954151153564,vasc,-0.1546853482723236
asymmetry,-2.3002395629882812,akiec,0.5694530010223389
asymmetry,-2.3002395629882812,bcc,0.2020636647939682
asymmetry,-2.3002395629882812,bkl,-0.122965008020401
asymmetry,-2.3002395629882812,df,0.12976224720478058
asymmetry,-2.3002395629882812,mel,-0.2675650715827942
asymmetry,-2.3002395629882812,nv,-0.3186039924621582
asymmetry,-2.3002395629882812,vasc,-0.1531282216310501
asymmetry,-2.275383710861206,akiec,0.5632979869842529
asymmetry,-2.275383710861206,bcc,0.19917036592960358
asymmetry,-2.275383710861206,bkl,-0.12153448909521103
asymmetry,-2.275383710861206,df,0.12761960923671722
asymmetry,-2.275383710861206,mel,-0.26349547505378723
asymmetry,-2.275383710861206,nv,-0.31412625312805176
asymmetry,-2.275383710861206,vasc,-0.1515711098909378
asymmetry,-2.250527858734131,akiec,0.557142972946167
asymmetry,-2.250527858734131,bcc,0.19627709686756134
asymmetry,-2.250527858734131,bkl,-0.1201038658618927
asymmetry,-2.250527858734131,df,0.12547700107097626
asymmetry,-2.250527858734131,mel,-0.25942593812942505
asymmetry,-2.250527858734131,nv,-0.3096485733985901
asymmetry,-2.250527858734131,vasc,-0.1500140279531479
asymmetry,-2.2256720066070557,akiec,0.5509878993034363
asymmetry,-2.2256720066070557,bcc,0.1933838427066803
asymmetry,-2.2256720066070557,bkl,-0.11867332458496094
asymmetry,-2.2256720066070557,df,0.1233343705534935
asymmetry,-2.2256720066070557,mel,-0.2553563117980957
asymmetry,-2.2256720066070557,nv,-0.3051709234714508
asymmetry,-2.2256720066070557,vasc,-0.1484569013118744
asymmetry,-2.2008161544799805,akiec,0.5448329448699951
asymmetry,-2.2008161544799805,bcc,0.19049058854579926
asymmetry,-2.2008161544799805,bkl,-0.11724275350570679
asymmetry,-2.2008161544799805,df,0.12119176983833313
asymmetry,-2.2008161544799805,mel,-0.2512868046760559
asymmetry,-2.2008161544799805,nv,-0.30069324374198914
asymmetry,-2.2008161544799805,vasc,-0.14689983427524567
asymmetry,-2.1759603023529053,akiec,0.5386662483215332
asymmetry,-2.1759603023529053,bcc,0.18760930001735687
asymmetry,-2.1759603023529053,bkl,-0.1158311516046524
