,akiec,bcc,bkl,df,mel,nv,vasc
akiec,32,11,8,6,4,0,1
bcc,13,52,7,13,7,6,2
bkl,26,20,102,7,39,22,2
df,6,0,4,14,3,1,0
mel,28,12,47,5,91,32,3
nv,47,46,107,80,179,861,17
vasc,0,3,0,0,1,3,25
