,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.629,0.1129,0.129,0.0323,0.0484,0.0323,0.0161
bcc,0.19,0.49,0.05,0.09,0.07,0.06,0.05
bkl,0.1468,0.078,0.4083,0.0229,0.2248,0.1101,0.0092
df,0.1786,0.0357,0.0714,0.3571,0.0357,0.1786,0.1429
mel,0.1193,0.0688,0.1376,0.0321,0.4633,0.1606,0.0183
nv,0.0426,0.0389,0.0561,0.0411,0.1601,0.647,0.0142
vasc,0.0,0.125,0.0,0.0,0.0625,0.0625,0.75
