concept_name,group_norm,is_zeroed
asymmetry,6.150791168212891,False
border_irregularity,5.895003795623779,False
colour_variation,6.193170070648193,False
diameter_large,6.068818092346191,False
atypical_pigment_network,6.056519031524658,False
blue_white_veil,5.828791618347168,False
atypical_vascular_pattern,5.778417110443115,False
irregular_streaks,5.8450398445129395,False
irregular_pigmentation,5.617352485656738,False
irregular_dots_globules,6.005283355712891,False
regression_structures,6.162793159484863,False
symmetric_uniform,5.657876968383789,False
reticular_network,5.8625946044921875,False
arborizing_vessels,5.677680492401123,False
blue_grey_ovoid_nests,6.173161029815674,False
ulceration,6.221602916717529,False
scaly_surface,5.955476760864258,False
strawberry_pattern,5.580362319946289,False
milia_like_cysts,6.213922500610352,False
comedo_like_openings,5.984632968902588,False
cerebriform_surface,6.046804428100586,False
central_white_patch,5.661404132843018,False
red_lacunae,6.343852996826172,False
healthy_skin,5.695582389831543,False
