concept_name,group_norm,is_zeroed
asymmetry,4.1554951667785645,False
border_irregularity,3.744523763656616,False
colour_variation,3.8778743743896484,False
diameter_large,3.787585973739624,False
atypical_pigment_network,4.164572238922119,False
blue_white_veil,3.9070632457733154,False
atypical_vascular_pattern,3.5371615886688232,False
irregular_streaks,3.494023561477661,False
irregular_pigmentation,3.661449909210205,False
irregular_dots_globules,3.585784673690796,False
regression_structures,3.1592042446136475,False
symmetric_uniform,4.128273963928223,False
reticular_network,3.948819160461426,False
arborizing_vessels,3.5778675079345703,False
blue_grey_ovoid_nests,3.415557861328125,False
ulceration,3.8164470195770264,False
scaly_surface,3.9699559211730957,False
strawberry_pattern,3.850982666015625,False
milia_like_cysts,3.484994411468506,False
comedo_like_openings,3.7762863636016846,False
cerebriform_surface,4.089959144592285,False
central_white_patch,3.922447443008423,False
red_lacunae,3.8051421642303467,False
healthy_skin,4.0025634765625,False
