,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.4355,0.1452,0.1935,0.0968,0.0484,0.0484,0.0323
bcc,0.15,0.33,0.14,0.11,0.06,0.08,0.13
bkl,0.1239,0.0642,0.4541,0.0229,0.2018,0.1147,0.0183
df,0.1429,0.0357,0.0,0.4286,0.0714,0.1786,0.1429
mel,0.0688,0.0734,0.2339,0.0275,0.4312,0.1376,0.0275
nv,0.0396,0.0404,0.0868,0.0748,0.1735,0.5587,0.0262
vasc,0.0,0.0312,0.0,0.0312,0.0938,0.0625,0.7812
