,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5161,0.1452,0.1935,0.0323,0.0323,0.0484,0.0323
bcc,0.16,0.38,0.13,0.1,0.06,0.06,0.11
bkl,0.1009,0.1147,0.5,0.0138,0.1697,0.0872,0.0138
df,0.1429,0.1071,0.1071,0.3571,0.0357,0.1071,0.1429
mel,0.0917,0.0734,0.2156,0.0183,0.422,0.1514,0.0275
nv,0.0598,0.0531,0.104,0.083,0.1601,0.5153,0.0247
vasc,0.0,0.0938,0.0,0.0,0.0625,0.0938,0.75
