,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.4839,0.1613,0.1806,0.0548,0.0581,0.029,0.0323
bcc,0.17,0.154,0.2,0.12,0.086,0.08,0.19
bkl,0.1266,0.0413,0.4367,0.0339,0.2202,0.1018,0.0394
df,0.1786,0.0571,0.0429,0.3,0.0571,0.1571,0.2071
mel,0.0972,0.0303,0.222,0.0284,0.4358,0.1385,0.0477
nv,0.0733,0.0193,0.1114,0.1059,0.2266,0.4154,0.048
vasc,0.0125,0.0438,0.0,0.0312,0.1125,0.0875,0.7125
