,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.6129,0.129,0.1129,0.0161,0.0645,0.0323,0.0323
bcc,0.22,0.29,0.11,0.06,0.05,0.11,0.16
bkl,0.1927,0.0688,0.3807,0.0092,0.2156,0.1101,0.0229
df,0.25,0.0714,0.0357,0.25,0.0357,0.1429,0.2143
mel,0.156,0.0505,0.133,0.0138,0.4495,0.156,0.0413
nv,0.1107,0.0322,0.0509,0.0501,0.1825,0.5273,0.0464
vasc,0.0312,0.0625,0.0,0.0,0.0625,0.0938,0.75
