concept_name,group_norm,is_zeroed
asymmetry,5.748417377471924,False
border_irregularity,5.477712631225586,False
colour_variation,5.681474685668945,False
diameter_large,5.723317623138428,False
atypical_pigment_network,5.660581588745117,False
blue_white_veil,5.408175468444824,False
atypical_vascular_pattern,5.326364517211914,False
irregular_streaks,5.418440818786621,False
irregular_pigmentation,5.160367012023926,False
irregular_dots_globules,5.6107096672058105,False
regression_structures,5.673007011413574,False
symmetric_uniform,5.214381217956543,False
reticular_network,5.6761555671691895,False
arborizing_vessels,5.370508193969727,False
blue_grey_ovoid_nests,5.913619518280029,False
ulceration,5.943782806396484,False
scaly_surface,5.703090190887451,False
strawberry_pattern,5.22811222076416,False
milia_like_cysts,5.8749613761901855,False
comedo_like_openings,5.753842830657959,False
cerebriform_surface,5.713671684265137,False
central_white_patch,5.483586311340332,False
red_lacunae,6.032800197601318,False
healthy_skin,5.371707439422607,False
