,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5968,0.0968,0.1774,0.0323,0.0323,0.0323,0.0323
bcc,0.15,0.45,0.07,0.08,0.08,0.06,0.11
bkl,0.1239,0.0642,0.445,0.0229,0.211,0.1193,0.0138
df,0.1786,0.0357,0.0714,0.3571,0.0714,0.1786,0.1071
mel,0.0963,0.0642,0.1606,0.0275,0.4495,0.1835,0.0183
nv,0.0396,0.0314,0.0673,0.0396,0.1481,0.6522,0.0217
vasc,0.0,0.0938,0.0,0.0,0.0625,0.0625,0.7812
