,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.4355,0.1129,0.1774,0.1129,0.0484,0.0645,0.0484
bcc,0.14,0.22,0.15,0.16,0.07,0.08,0.18
bkl,0.1009,0.0413,0.4587,0.0367,0.2064,0.1239,0.0321
df,0.1071,0.0357,0.0714,0.4286,0.0714,0.1071,0.1786
mel,0.0688,0.0321,0.1789,0.0459,0.4633,0.1651,0.0459
nv,0.0501,0.0157,0.083,0.107,0.1743,0.5153,0.0546
vasc,0.0,0.0625,0.0,0.0625,0.0625,0.0938,0.7188
