concept_name,group_norm,is_zeroed
asymmetry,6.162224769592285,False
border_irregularity,5.895822048187256,False
colour_variation,6.199805736541748,False
diameter_large,6.066417694091797,False
atypical_pigment_network,6.054838180541992,False
blue_white_veil,5.827026844024658,False
atypical_vascular_pattern,5.775569438934326,False
irregular_streaks,5.8459672927856445,False
irregular_pigmentation,5.615184307098389,False
irregular_dots_globules,6.006673812866211,False
regression_structures,6.162348747253418,False
symmetric_uniform,5.654775142669678,False
reticular_network,5.86132287979126,False
arborizing_vessels,5.678203582763672,False
blue_grey_ovoid_nests,6.174356460571289,False
ulceration,6.2201080322265625,False
scaly_surface,5.9574198722839355,False
strawberry_pattern,5.579978942871094,False
milia_like_cysts,6.217348098754883,False
comedo_like_openings,5.982967853546143,False
cerebriform_surface,6.049820423126221,False
central_white_patch,5.6727447509765625,False
red_lacunae,6.341731071472168,False
healthy_skin,5.705030918121338,False
