,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.4194,0.1613,0.1774,0.0968,0.0484,0.0645,0.0323
bcc,0.14,0.24,0.13,0.17,0.06,0.09,0.17
bkl,0.1055,0.0642,0.4358,0.0321,0.2064,0.1239,0.0321
df,0.1071,0.0714,0.0714,0.4286,0.0714,0.1071,0.1429
mel,0.0688,0.0413,0.1789,0.0505,0.4633,0.1514,0.0459
nv,0.0501,0.0232,0.0726,0.1092,0.1773,0.5206,0.0471
vasc,0.0,0.0938,0.0,0.0312,0.0625,0.0938,0.7188
