,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5355,0.1452,0.1742,0.0323,0.0452,0.0387,0.029
bcc,0.12,0.474,0.09,0.104,0.072,0.08,0.06
bkl,0.1211,0.1018,0.4523,0.0312,0.1798,0.1083,0.0055
df,0.1071,0.0929,0.0643,0.4071,0.0714,0.15,0.1071
mel,0.1,0.0596,0.1908,0.0321,0.4422,0.1541,0.0211
nv,0.039,0.0414,0.0811,0.0694,0.1442,0.6073,0.0175
vasc,0.0,0.125,0.0,0.0062,0.0875,0.0625,0.7188
