,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.4839,0.1774,0.1613,0.0484,0.0484,0.0484,0.0323
bcc,0.15,0.22,0.13,0.1,0.07,0.1,0.23
bkl,0.1284,0.078,0.4128,0.0138,0.1972,0.1284,0.0413
df,0.2143,0.0357,0.0,0.3214,0.0714,0.1429,0.2143
mel,0.0917,0.055,0.2156,0.0138,0.3807,0.1835,0.0596
nv,0.0561,0.0411,0.0748,0.0651,0.1743,0.5378,0.0509
vasc,0.0,0.0625,0.0,0.0,0.125,0.0938,0.7188
