,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5484,0.1548,0.1839,0.0355,0.0258,0.0355,0.0161
bcc,0.156,0.504,0.076,0.108,0.044,0.064,0.048
bkl,0.1266,0.0826,0.4844,0.0321,0.1541,0.1165,0.0037
df,0.1143,0.0714,0.0643,0.4214,0.0429,0.1571,0.1286
mel,0.0982,0.0606,0.2147,0.0303,0.3991,0.1743,0.0229
nv,0.0356,0.0337,0.0844,0.0636,0.1283,0.6401,0.0144
vasc,0.0125,0.125,0.0,0.0125,0.0562,0.075,0.7188
