,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.629,0.1129,0.1452,0.0323,0.0323,0.0323,0.0161
bcc,0.19,0.48,0.05,0.09,0.07,0.07,0.05
bkl,0.1422,0.0872,0.4128,0.0229,0.2202,0.1055,0.0092
df,0.1786,0.0357,0.0714,0.3571,0.0357,0.1786,0.1429
mel,0.1101,0.0688,0.1422,0.0321,0.4679,0.1606,0.0183
nv,0.0441,0.0381,0.0576,0.0411,0.1601,0.6447,0.0142
vasc,0.0312,0.125,0.0,0.0,0.0938,0.0625,0.6875
