,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.4677,0.0161,0.2581,0.0484,0.129,0.0323,0.0484
bcc,0.15,0.07,0.31,0.17,0.07,0.04,0.19
bkl,0.1147,0.0092,0.5872,0.0229,0.1743,0.0459,0.0459
df,0.1786,0.0,0.1429,0.3571,0.0357,0.0714,0.2143
mel,0.0872,0.0229,0.3945,0.0275,0.3028,0.1147,0.0505
nv,0.1099,0.0037,0.2356,0.074,0.1406,0.38,0.0561
vasc,0.0312,0.0312,0.1562,0.0625,0.0,0.0312,0.6875
