,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5161,0.0806,0.1935,0.0806,0.0484,0.0484,0.0323
bcc,0.18,0.26,0.14,0.13,0.09,0.06,0.14
bkl,0.1147,0.0505,0.4266,0.0367,0.2477,0.1009,0.0229
df,0.2143,0.0,0.0357,0.4286,0.0714,0.1071,0.1429
mel,0.0734,0.0413,0.1697,0.0321,0.5,0.1376,0.0459
nv,0.0591,0.0284,0.0643,0.0778,0.2139,0.5251,0.0314
vasc,0.0,0.0625,0.0,0.0312,0.0938,0.0938,0.7188
