,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5806,0.0968,0.1774,0.0645,0.0323,0.0323,0.0161
bcc,0.18,0.44,0.07,0.16,0.07,0.04,0.04
bkl,0.1376,0.0734,0.4679,0.0413,0.1697,0.1055,0.0046
df,0.0714,0.0357,0.0714,0.5357,0.0357,0.1071,0.1429
mel,0.1147,0.055,0.1697,0.0321,0.4541,0.1514,0.0229
nv,0.0441,0.0277,0.08,0.0808,0.1466,0.6066,0.0142
vasc,0.0,0.0625,0.0,0.0312,0.0625,0.0625,0.7812
