,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5806,0.129,0.1452,0.0323,0.0484,0.0323,0.0323
bcc,0.14,0.49,0.07,0.09,0.07,0.07,0.07
bkl,0.1651,0.1009,0.3761,0.0229,0.2064,0.1147,0.0138
df,0.1071,0.0714,0.0714,0.3571,0.0357,0.25,0.1071
mel,0.1193,0.0734,0.1376,0.0275,0.445,0.1789,0.0183
nv,0.0486,0.0501,0.0583,0.0509,0.1488,0.6275,0.0157
vasc,0.0,0.125,0.0,0.0,0.0625,0.0625,0.75
