,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.4677,0.0968,0.1452,0.0645,0.1452,0.0323,0.0484
bcc,0.16,0.16,0.15,0.16,0.08,0.09,0.2
bkl,0.0872,0.0321,0.4404,0.055,0.2339,0.1101,0.0413
df,0.0714,0.0357,0.0357,0.5,0.0357,0.1429,0.1786
mel,0.0642,0.0229,0.1697,0.0505,0.4587,0.1789,0.055
nv,0.0539,0.0187,0.0793,0.1107,0.1705,0.5026,0.0643
vasc,0.0,0.0312,0.0,0.0625,0.0312,0.125,0.75
