epoch,train_loss,val_loss,val_balanced_acc,lr,r_perp_train,r_perp_val,r_sparse_train
1,1.9035039089352408,1.4780207872390747,0.46575228765972854,0.001,0.15364675510388154,0.25447502732276917,178.86323136549728
2,1.6536355304354586,1.436260461807251,0.4936218775306348,0.001,0.14381444110320166,0.21386514604091644,177.82450984074518
3,1.569128922734518,1.3824613094329834,0.47391543868962704,0.001,0.13406797441152427,0.1983518749475479,177.31107506385217
4,1.5230888616132001,1.3057235479354858,0.5516006264042742,0.001,0.12675614139208427,0.18951880931854248,177.01012068528397
5,1.4332859312547905,1.3123235702514648,0.529281630931821,0.001,0.12223161699680182,0.18991714715957642,176.826901949369
6,1.4345758936048796,1.2839115858078003,0.5685512629185561,0.001,0.11715572814528759,0.17303763329982758,176.75488926814154
7,1.4147962674621402,1.2673813104629517,0.5697927877872309,0.001,0.1196319331916479,0.1728142499923706,176.70225524902344
8,1.385163582192737,1.2313696146011353,0.5673520252862295,0.001,0.11556924507021904,0.17847895622253418,176.64611992469202
9,1.37395805462576,1.2517844438552856,0.5509889897012739,0.001,0.11757073780665031,0.1680307239294052,176.6049100435697
10,1.394803858300282,1.2524586915969849,0.5464235145371635,0.001,0.11623321588222797,0.16895970702171326,176.5415978064904
11,1.3729829323905534,1.258398175239563,0.5705113325528047,0.001,0.11555928049179223,0.16601355373859406,176.5256130511944
12,1.341319275080351,1.2704955339431763,0.5499145268474909,0.001,0.11625041898626548,0.16767725348472595,176.54266005295975
13,1.3566648368609973,1.2160000801086426,0.5621780182221064,0.001,0.11673322348640515,0.16229048371315002,176.52020557110126
14,1.3101829467099384,1.2287545204162598,0.5953512012880707,0.001,0.11699964192051154,0.16195182502269745,176.53357109656702
15,1.322849389618191,1.2052032947540283,0.6032127920824465,0.001,0.11635469874510398,0.157705619931221,176.54017932598407
16,1.3129115551177033,1.195282220840454,0.5781832285309793,0.001,0.11561508075549053,0.15527276694774628,176.57587374173679
17,1.3071039243107136,1.2264580726623535,0.5676309199372673,0.001,0.11673580740506832,0.15505832433700562,176.58553255521335
18,1.3411470134478183,1.2206984758377075,0.5784440332494222,0.001,0.11685798173913589,0.15686427056789398,176.62220294658954
19,1.3204236414221513,1.2282133102416992,0.5916973901497276,0.001,0.11611605292329422,0.15064162015914917,176.63254957932693
20,1.2984976770347896,1.183788776397705,0.5825100079524264,0.001,0.11575947214777653,0.14980292320251465,176.6699453500601
21,1.310598253072708,1.1779308319091797,0.5817827156646852,0.001,0.1190611720085144,0.15870067477226257,176.71222217266376
22,1.2885815359270765,1.1876250505447388,0.580440546005239,0.0005,0.11613374432692161,0.1407586634159088,176.74061114971454
23,1.2750676191507666,1.1659826040267944,0.594287959587703,0.0005,0.11499065533280373,0.14085637032985687,176.76593134953424
24,1.270069147124226,1.20248544216156,0.578330925377095,0.0005,0.11268784793523642,0.13337290287017822,176.792728130634
25,1.272913969180543,1.2110106945037842,0.5829682196904303,0.0005,0.11345680745748374,0.13604101538658142,176.8302459716797
26,1.2707525350235729,1.1834226846694946,0.5910780427539359,0.0005,0.11315980725563489,0.1345972716808319,176.8488030066857
27,1.2326011753208364,1.1683886051177979,0.5885233691576776,0.0005,0.11344721540808678,0.13678666949272156,176.88523806058444
28,1.2523301762877401,1.1796371936798096,0.5901562594300706,0.00025,0.1112298400929341,0.1312139630317688,176.92059384859525
29,1.242275333938563,1.1807928085327148,0.5852994507616208,0.00025,0.11092645875536479,0.12616367638111115,176.94218210073618
30,1.2418596296923066,1.1737384796142578,0.5905670613443565,0.00025,0.10998109814066154,0.12826670706272125,176.95707174447867
