,precision,recall,f1-score,support,auc
nv,0.9094036697247706,0.5931189229618549,0.7179719330013581,1337,0.8407187983804417
mel,0.26301369863013696,0.44036697247706424,0.3293310463121784,218,0.7336506740047395
bkl,0.34527687296416937,0.48623853211009177,0.4038095238095238,218,0.7953591508211447
bcc,0.2802547770700637,0.44,0.3424124513618677,100,0.8299366754617413
akiec,0.23076923076923078,0.4838709677419355,0.3125,62,0.8662450144351919
vasc,0.32142857142857145,0.84375,0.46551724137931033,32,0.9792409577177789
df,0.125,0.35714285714285715,0.18518518518518517,28,0.8487362916696928
