epoch,train_loss,val_loss,val_balanced_acc,lr,r_perp_train,r_perp_val
1,1.9035038402540758,1.4780209064483643,0.46575228765972854,0.001,0.1536467639872661,0.2544763386249542
2,1.653634692150691,1.4362772703170776,0.4936218775306348,0.001,0.14381547788014779,0.21388240158557892
3,1.5691238037626487,1.3824292421340942,0.47391543868962704,0.001,0.13406690095479673,0.19836589694023132
4,1.523201184763028,1.3057279586791992,0.5496877244913724,0.001,0.1267609644967776,0.19052956998348236
5,1.433467812589324,1.3134057521820068,0.5312925722883788,0.001,0.1223534789796059,0.18884079158306122
6,1.434800047881126,1.283555269241333,0.5706652985215873,0.001,0.11730336856383544,0.1738688051700592
7,1.414068368141713,1.2685909271240234,0.5659790381138571,0.001,0.11956795792167003,0.17055363953113556
8,1.3856672015563198,1.232864260673523,0.5662080752011786,0.001,0.11546287026542884,0.1767866611480713
9,1.3745104173309308,1.2500935792922974,0.5591748226612522,0.001,0.11761244415090634,0.16820110380649567
10,1.3956300704062754,1.253218173980713,0.5500770415443961,0.001,0.11616321681783749,0.1694970726966858
11,1.3716983942578342,1.258771300315857,0.5696034302573099,0.001,0.11544062139896247,0.1659848392009735
12,1.3420245408974756,1.268668532371521,0.5571038947240894,0.001,0.11602195581564537,0.16670174896717072
13,1.335635753975146,1.2052249908447266,0.5824047707388896,0.0005,0.1146002569450782,0.15284255146980286
14,1.304234298544958,1.2203302383422852,0.56930507316697,0.0005,0.1136814785691408,0.1491723209619522
15,1.3102191729092416,1.2006850242614746,0.5769640923936347,0.0005,0.11277865876372044,0.14931367337703705
16,1.3055966399583387,1.2129430770874023,0.5846876882552091,0.0005,0.11317376677806561,0.1473236382007599
17,1.2993716759896052,1.2135668992996216,0.575196102850719,0.0005,0.11341801944833535,0.146250382065773
18,1.321893115031773,1.21406888961792,0.5666597375597252,0.0005,0.11311109278064507,0.14729805290699005
19,1.304140698225544,1.211232304573059,0.5778748819785055,0.0005,0.11246461994372882,0.14682745933532715
20,1.2965480801587825,1.189824104309082,0.5588846682623573,0.0005,0.11360244252360784,0.14191126823425293
21,1.3143570260323676,1.1780369281768799,0.5990879139861452,0.0005,0.11517889109941629,0.14920496940612793
22,1.3000015349127787,1.1941709518432617,0.5896393200539806,0.0005,0.11538275245290536,0.1416589915752411
23,1.2938877248823373,1.1745076179504395,0.5862538501660008,0.0005,0.11447197943925858,0.14814645051956177
24,1.2884522646800005,1.2088755369186401,0.5739228944908088,0.0005,0.11275429622485088,0.1376204490661621
25,1.295559824542136,1.2206192016601562,0.5743961101546422,0.0005,0.11372653480905753,0.1420450210571289
26,1.2980884783263154,1.193777084350586,0.5862320243400964,0.0005,0.11389937194494101,0.14042329788208008
27,1.250119242888436,1.174256682395935,0.5961969325198224,0.0005,0.11385888233780861,0.13883033394813538
28,1.2759970321053016,1.185099720954895,0.5868002342983324,0.00025,0.1118973118181412,0.13492058217525482
29,1.260032032600067,1.184674620628357,0.5856883495294541,0.00025,0.11153560389692967,0.13239243626594543
30,1.2567190430846327,1.1793760061264038,0.5925928229879636,0.00025,0.11060415065059295,0.13208918273448944
31,1.2658569335307057,1.1783792972564697,0.5882540952076944,0.00025,0.11028814946229641,0.13343241810798645
32,1.2724673429086542,1.1862391233444214,0.5670841631442521,0.00025,0.1107461449618523,0.1345916986465454
33,1.2489471254201898,1.1802548170089722,0.5889214053248518,0.00025,0.11053976817772938,0.1297791302204132
34,1.2501220184678628,1.1850463151931763,0.5868680177598911,0.000125,0.11035153470360316,0.13002076745033264
35,1.2558136287828054,1.1841702461242676,0.5867535023108517,0.000125,0.11054473484937961,0.13272999227046967
36,1.2512077833523663,1.177984356880188,0.581998880789351,0.000125,0.11027637295998059,0.12932607531547546
