epoch,train_loss,val_loss,val_balanced_acc,lr
1,1.8870805689772694,1.618695616722107,0.3742300033269843,0.001
2,1.675993570904651,1.5579349994659424,0.4207581585662144,0.001
3,1.5957219605683948,1.4944183826446533,0.4193785738461945,0.001
4,1.5714919660932856,1.4572081565856934,0.47815850458122594,0.001
5,1.486773372809018,1.4182710647583008,0.508154331980229,0.001
6,1.466831161568298,1.4127768278121948,0.5145402564348505,0.001
7,1.4452577680094392,1.3824127912521362,0.5186849149813723,0.001
8,1.4073778585209078,1.3501732349395752,0.512274278893464,0.001
9,1.3902185696023195,1.3432598114013672,0.5403880364827038,0.001
10,1.3546103106851914,1.3315120935440063,0.5545148139046792,0.001
11,1.360469648804296,1.3245632648468018,0.5377746010937713,0.001
12,1.3690160372001718,1.313942551612854,0.5638128486741353,0.001
13,1.3451424304944655,1.3038557767868042,0.5396077664443412,0.001
14,1.3233598965214504,1.2939947843551636,0.5477364327154245,0.001
15,1.3175062360020369,1.2937054634094238,0.5466417929756694,0.001
16,1.3340704541570534,1.2711514234542847,0.5762880901844027,0.001
17,1.3271080088811966,1.2648897171020508,0.571555361207067,0.001
18,1.2940548502985398,1.2629114389419556,0.568454706708416,0.001
19,1.3000413761351783,1.2874257564544678,0.557302648560444,0.001
20,1.291232302782602,1.259212851524353,0.560736350038774,0.001
21,1.2887281422704797,1.2569786310195923,0.5820607426197035,0.001
22,1.28303651359853,1.2506239414215088,0.5753133445471842,0.001
23,1.264377385966606,1.2470520734786987,0.5576818977039996,0.001
24,1.285893885079504,1.2430849075317383,0.5757479904193126,0.001
25,1.2641234319639125,1.2510409355163574,0.5522281766891277,0.001
26,1.2598277582390198,1.2473777532577515,0.578422662039304,0.001
27,1.2646039656484678,1.2482893466949463,0.5782796736705011,0.001
28,1.2394331144422484,1.2442166805267334,0.5639151193876778,0.0005
29,1.2595030584645357,1.239028811454773,0.581259545567596,0.0005
30,1.2480892719720345,1.2324912548065186,0.5778500369766837,0.0005
31,1.2275639706589532,1.2296797037124634,0.5788585620793043,0.0005
32,1.2638054525783597,1.2295892238616943,0.5719349446693839,0.0005
33,1.2410253574696497,1.2296481132507324,0.5724511587879562,0.0005
34,1.2436668985756658,1.2277113199234009,0.5748586292099152,0.00025
35,1.2385161266409974,1.228987693786621,0.57306607444133,0.00025
36,1.2245794520034707,1.2243437767028809,0.5646375579505588,0.00025
