,precision,recall,f1-score,support
nv,0.9294117647058824,0.649962602842184,0.7649647887323944,1337
mel,0.3003003003003003,0.45871559633027525,0.3629764065335753,218
bkl,0.4015151515151515,0.48623853211009177,0.43983402489626555,218
bcc,0.36551724137931035,0.53,0.4326530612244898,100
akiec,0.21678321678321677,0.5,0.3024390243902439,62
vasc,0.525,0.65625,0.5833333333333334,32
df,0.11851851851851852,0.5714285714285714,0.19631901840490798,28
