metric,v5,v6,v6b,v6c,v6c_vs_v5,v6c_vs_v6,v6c_vs_v6b
balanced_accuracy,0.608,0.555,0.55,0.5503707575301603,-0.05762924246983969,-0.004629242469839756,0.00037075753016024837
macro_f1,0.485,0.448,0.433,0.4403599510736015,-0.0446400489263985,-0.007640048926398524,0.0073599510736014895
auc_ovr_weighted,0.891,0.86,0.857,0.8597652206530105,-0.031234779346989483,-0.00023477934698945546,0.002765220653010547
top1_accuracy,0.636,0.595,0.59,0.5994987468671679,-0.036501253132832145,0.004498746867167891,0.009498746867167895
