,akiec,bcc,bkl,df,mel,nv,vasc
akiec,31,12,11,3,3,2,0
bcc,12,53,8,13,6,5,3
bkl,23,18,106,8,39,21,3
df,5,1,1,16,3,1,1
mel,29,7,39,9,100,34,0
nv,43,46,99,86,182,869,12
vasc,0,8,0,0,0,3,21
