class,v6c_auc,v5_auc,delta
vasc,0.9892384105960265,0.991,-0.0017615894039735291
bcc,0.912221635883905,0.9449,-0.03267836411609493
df,0.8967608395671436,0.9449,-0.048139160432856376
nv,0.8781068626626322,0.9059,-0.02779313733736788
akiec,0.8932797089598318,0.9049,-0.011620291040168262
bkl,0.7924292566071051,0.8367,-0.04427074339289494
mel,0.7572602004202528,0.802,-0.044739799579747275
