concept_name,group_norm,is_zeroed
asymmetry,6.422799587249756,False
border_irregularity,6.401670455932617,False
colour_variation,6.633362293243408,False
diameter_large,6.461299896240234,False
atypical_pigment_network,6.355108261108398,False
blue_white_veil,6.209499359130859,False
atypical_vascular_pattern,6.298134803771973,False
irregular_streaks,6.358419895172119,False
irregular_pigmentation,5.86919641494751,False
irregular_dots_globules,6.586490154266357,False
regression_structures,6.581232070922852,False
symmetric_uniform,6.3538103103637695,False
reticular_network,6.023935317993164,False
arborizing_vessels,5.921175956726074,False
blue_grey_ovoid_nests,6.672537803649902,False
ulceration,6.722334384918213,False
scaly_surface,6.031590461730957,False
strawberry_pattern,6.149273872375488,False
milia_like_cysts,6.68810510635376,False
comedo_like_openings,6.4836745262146,False
cerebriform_surface,6.483583450317383,False
central_white_patch,6.025789260864258,False
red_lacunae,6.653414726257324,False
healthy_skin,6.142190933227539,False
