metric,nam_mean,nam_std,logreg,delta
balanced_accuracy,0.5402819262443872,0.010321728778254246,0.608,-0.06771807375561278
macro_f1,0.4306296771532609,0.02119391752911084,0.485,-0.054370322846739094
auc_ovr_weighted,0.8662194125901612,0.005754874892867402,0.891,-0.024780587409838795
