,akiec,bcc,bkl,df,mel,nv,vasc
akiec,31.2,12.0,11.4,0.4,5.2,0.8,1.0
bcc,8.0,58.8,8.6,10.4,5.4,4.4,4.4
bkl,20.2,30.6,101.0,7.2,38.8,18.8,1.4
df,5.8,2.0,1.8,12.8,2.2,3.0,0.4
mel,24.6,14.2,40.8,5.8,95.0,34.6,3.0
nv,46.2,51.8,119.6,77.6,186.8,840.0,15.0
vasc,0.0,3.4,0.6,0.2,2.4,2.8,22.6
