,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5806,0.1129,0.1774,0.0484,0.0161,0.0323,0.0323
bcc,0.17,0.4,0.1,0.14,0.05,0.08,0.06
bkl,0.1468,0.0734,0.4908,0.0367,0.1193,0.1193,0.0138
df,0.0714,0.0357,0.0714,0.4286,0.0357,0.25,0.1071
mel,0.1055,0.0505,0.289,0.0413,0.289,0.2018,0.0229
nv,0.0434,0.0307,0.1085,0.0755,0.0898,0.6328,0.0194
vasc,0.0,0.125,0.0,0.0,0.0625,0.0625,0.75
