,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5903,0.1129,0.1516,0.0452,0.0516,0.0258,0.0226
bcc,0.154,0.468,0.08,0.112,0.068,0.06,0.058
bkl,0.1257,0.0853,0.4477,0.0284,0.2055,0.1018,0.0055
df,0.1286,0.0714,0.05,0.4071,0.0643,0.1643,0.1143
mel,0.1147,0.0532,0.1697,0.0303,0.4596,0.1523,0.0202
nv,0.0389,0.0338,0.0723,0.076,0.162,0.6001,0.0169
vasc,0.0125,0.1125,0.0,0.0125,0.0812,0.0625,0.7188
