,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5323,0.129,0.1452,0.0484,0.0484,0.0645,0.0323
bcc,0.16,0.32,0.1,0.1,0.06,0.11,0.15
bkl,0.1284,0.0596,0.3807,0.0183,0.2248,0.1606,0.0275
df,0.1786,0.1071,0.0357,0.3571,0.0357,0.1429,0.1429
mel,0.1055,0.0459,0.1284,0.0275,0.4633,0.1881,0.0413
nv,0.0591,0.0262,0.0501,0.0696,0.1825,0.5804,0.0322
vasc,0.0,0.0625,0.0,0.0,0.0938,0.0938,0.75
