,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5645,0.1258,0.1839,0.0355,0.0355,0.0387,0.0161
bcc,0.172,0.476,0.068,0.102,0.066,0.064,0.052
bkl,0.1294,0.0771,0.4688,0.0294,0.1798,0.1101,0.0055
df,0.1286,0.0571,0.0714,0.4,0.05,0.1571,0.1357
mel,0.1,0.0532,0.1954,0.0294,0.4376,0.1615,0.0229
nv,0.0364,0.0329,0.0803,0.0552,0.1466,0.6343,0.0144
vasc,0.0125,0.1,0.0,0.0188,0.0688,0.0688,0.7312
