concept_name,group_norm,is_zeroed
asymmetry,7.568295001983643,False
border_irregularity,7.3154296875,False
colour_variation,7.588352203369141,False
diameter_large,7.463902950286865,False
atypical_pigment_network,7.417337894439697,False
blue_white_veil,7.258103847503662,False
atypical_vascular_pattern,7.200911045074463,False
irregular_streaks,7.272475242614746,False
irregular_pigmentation,7.027637958526611,False
irregular_dots_globules,7.41000509262085,False
regression_structures,7.623170852661133,False
symmetric_uniform,6.978822708129883,False
reticular_network,7.177304744720459,False
arborizing_vessels,7.084146022796631,False
blue_grey_ovoid_nests,7.536472320556641,False
ulceration,7.6110758781433105,False
scaly_surface,7.240856170654297,False
strawberry_pattern,6.962801456451416,False
milia_like_cysts,7.595831871032715,False
comedo_like_openings,7.356738567352295,False
cerebriform_surface,7.4681196212768555,False
central_white_patch,7.016231060028076,False
red_lacunae,7.657325267791748,False
healthy_skin,7.161376476287842,False
