,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5645,0.0645,0.1935,0.0161,0.0806,0.0484,0.0323
bcc,0.16,0.15,0.16,0.11,0.09,0.13,0.2
bkl,0.1193,0.0367,0.422,0.0092,0.2294,0.1514,0.0321
df,0.2143,0.0,0.0714,0.3214,0.0357,0.1429,0.2143
mel,0.0688,0.0229,0.1514,0.0183,0.4862,0.1972,0.055
nv,0.0778,0.0142,0.0643,0.086,0.2117,0.4921,0.0539
vasc,0.0312,0.0312,0.0,0.0,0.0938,0.0938,0.75
