,precision,recall,f1-score,support,auc
nv,0.869220607661823,0.49214659685863876,0.6284622731614136,1337,0.7252638829844069
mel,0.23194748358862144,0.48623853211009177,0.31407407407407406,218,0.7085620027569401
bkl,0.3817427385892116,0.42201834862385323,0.4008714596949891,218,0.7762386869943676
bcc,0.28846153846153844,0.15,0.19736842105263158,100,0.7747968337730872
akiec,0.1724137931034483,0.5645161290322581,0.2641509433962264,62,0.8460774660814712
vasc,0.16783216783216784,0.75,0.2742857142857143,32,0.918890091696383
df,0.06338028169014084,0.32142857142857145,0.10588235294117647,28,0.834555886411504
