,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5484,0.1613,0.1839,0.029,0.0226,0.0387,0.0161
bcc,0.132,0.526,0.08,0.096,0.052,0.068,0.046
bkl,0.1101,0.0844,0.489,0.0312,0.1587,0.1211,0.0055
df,0.1286,0.0571,0.0571,0.4214,0.0429,0.1643,0.1286
mel,0.0963,0.0624,0.2092,0.0294,0.4018,0.1761,0.0248
nv,0.0335,0.0365,0.0823,0.0549,0.1276,0.6512,0.0141
vasc,0.0,0.125,0.0,0.0125,0.0688,0.0688,0.725
