,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5323,0.1129,0.1613,0.0645,0.0484,0.0484,0.0323
bcc,0.14,0.38,0.1,0.16,0.06,0.09,0.07
bkl,0.1193,0.0917,0.3991,0.0505,0.2248,0.1147,0.0
df,0.1071,0.0357,0.0357,0.5,0.0714,0.1429,0.1071
mel,0.1009,0.0505,0.133,0.0459,0.4862,0.1606,0.0229
nv,0.0456,0.0329,0.0553,0.1122,0.1713,0.5639,0.0187
vasc,0.0,0.125,0.0,0.0312,0.0625,0.0938,0.6875
