epoch,train_loss,val_loss,val_balanced_acc
1,1.7530236297418438,1.4738516807556152,0.4258122374868171
2,1.349697224338052,1.2678413391113281,0.5438197373347341
3,1.2322994089549355,1.2244224548339844,0.5710088221347253
4,1.1929141917742694,1.1628694534301758,0.5695842549826168
5,1.1243639474969052,1.133373498916626,0.5657044183255518
6,1.1099506484199448,1.1358052492141724,0.5722473916146923
7,1.075929464736128,1.180784821510315,0.5607424692669781
8,1.0673637239757603,1.1862215995788574,0.581020023856839
9,1.043629101580271,1.1697665452957153,0.5715620047665891
10,1.0370528314510055,1.125502586364746,0.5554156583028511
11,1.0191505168993267,1.2214118242263794,0.5658542903529211
12,1.029409460228549,1.1748642921447754,0.5950003171725486
13,1.0460554933748232,1.1737889051437378,0.5749980391454764
14,1.0189590079729878,1.161080241203308,0.568233097823483
15,0.9810079799309954,1.1657506227493286,0.5899974982493293
16,0.9914631249467402,1.173115849494934,0.570213454553219
17,0.9513174059751116,1.1553592681884766,0.5742150937758134
18,0.9631083440884477,1.2256863117218018,0.5526746567683365
19,0.9468097259549966,1.1687862873077393,0.579790655028123
20,0.9536378342472278,1.205507516860962,0.5660746888161108
21,0.913493082476619,1.191736102104187,0.5634787046929294
22,0.915452902731285,1.2128143310546875,0.6017278775885562
23,0.89827734294066,1.2068454027175903,0.5730976631902308
24,0.8756295034184132,1.1732456684112549,0.593800922323416
25,0.8936850045216475,1.2470529079437256,0.5508097266524928
26,0.877409737631922,1.2452938556671143,0.5657467609145886
27,0.8808431980361054,1.1825294494628906,0.5813204365112145
28,0.8673011854436984,1.2228707075119019,0.5615453994165363
29,0.8521287261855641,1.2258567810058594,0.5730500869565839
30,0.8512736264645803,1.1993377208709717,0.5755881331171435
31,0.8738840005134123,1.1845297813415527,0.5605111428291096
32,0.8610346665147267,1.262128233909607,0.5679978658135083
