,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5806,0.1613,0.1774,0.0161,0.0161,0.0323,0.0161
bcc,0.14,0.59,0.06,0.06,0.04,0.06,0.05
bkl,0.1239,0.1101,0.4633,0.0183,0.1606,0.1147,0.0092
df,0.1429,0.0357,0.0714,0.3571,0.0357,0.2143,0.1429
mel,0.1009,0.078,0.1651,0.0275,0.4128,0.1927,0.0229
nv,0.0359,0.0509,0.0763,0.0299,0.1144,0.6791,0.0135
vasc,0.0,0.1562,0.0,0.0,0.0938,0.0625,0.6875
