,precision,recall,f1-score,support,auc
nv,0.9162462159434914,0.6791323859386686,0.7800687285223368,1337,0.8759460116897377
mel,0.313588850174216,0.41284403669724773,0.3564356435643564,218,0.767255399007708
bkl,0.39147286821705424,0.463302752293578,0.42436974789915966,218,0.8013738235248564
bcc,0.32065217391304346,0.59,0.4154929577464789,100,0.8947018469656992
akiec,0.23841059602649006,0.5806451612903226,0.3380281690140845,62,0.8911770104968042
vasc,0.38596491228070173,0.6875,0.4943820224719101,32,0.9766938359653592
df,0.14925373134328357,0.35714285714285715,0.21052631578947367,28,0.877042631999419
