concept_name,group_norm,is_zeroed
asymmetry,7.550643444061279,False
border_irregularity,7.311305046081543,False
colour_variation,7.582248687744141,False
diameter_large,7.447209358215332,False
atypical_pigment_network,7.408946514129639,False
blue_white_veil,7.254575252532959,False
atypical_vascular_pattern,7.187357425689697,False
irregular_streaks,7.266448497772217,False
irregular_pigmentation,7.023647785186768,False
irregular_dots_globules,7.411017417907715,False
regression_structures,7.6277971267700195,False
symmetric_uniform,6.965341567993164,False
reticular_network,7.174943923950195,False
arborizing_vessels,7.0748610496521,False
blue_grey_ovoid_nests,7.532433986663818,False
ulceration,7.6006011962890625,False
scaly_surface,7.23945426940918,False
strawberry_pattern,6.969459056854248,False
milia_like_cysts,7.593708515167236,False
comedo_like_openings,7.365106105804443,False
cerebriform_surface,7.468356132507324,False
central_white_patch,7.0250396728515625,False
red_lacunae,7.652039051055908,False
healthy_skin,7.16984224319458,False
