,akiec,bcc,bkl,df,mel,nv,vasc
akiec,0.5968,0.1129,0.129,0.0161,0.0806,0.0323,0.0323
bcc,0.19,0.21,0.11,0.12,0.05,0.13,0.19
bkl,0.1468,0.0413,0.3991,0.0183,0.2156,0.1468,0.0321
df,0.1786,0.0,0.0357,0.3929,0.0357,0.1786,0.1786
mel,0.1101,0.0183,0.1376,0.0413,0.4358,0.2064,0.0505
nv,0.077,0.0172,0.0583,0.086,0.175,0.5438,0.0426
vasc,0.0312,0.0312,0.0,0.0,0.0938,0.0938,0.75
