epoch,train_loss,val_loss,val_balanced_acc,lr,r_perp_train,r_perp_val,r_sparse_train
1,3.574484836853094,1.4774469137191772,0.4788935408901331,0.001,0.29995809151576114,0.2989601790904999,176.97026707575873
2,3.1889665180573585,1.3539117574691772,0.508202457231772,0.001,0.3223637113204369,0.3281935453414917,173.01595189021185
3,3.085047484222996,1.307316780090332,0.5285814510181542,0.001,0.3319700795870561,0.3349548280239105,169.74908975454477
4,2.991997891403984,1.2787754535675049,0.5480624996917818,0.001,0.3441505856238879,0.3345072865486145,166.88863607553336
5,2.9300867635626355,1.2661150693893433,0.5690120608739446,0.001,0.34311559681709,0.33954450488090515,164.26822779728815
6,2.8717105524371953,1.2309942245483398,0.5780381347170563,0.001,0.3481211948853273,0.342905193567276,161.732174213116
7,2.8469552888453404,1.2286053895950317,0.5833193156315873,0.001,0.3517349809408188,0.3492175042629242,159.29865030141977
8,2.823534989138194,1.252152442932129,0.5810763770635238,0.001,0.3532537691868268,0.3459252417087555,156.95013603797327
9,2.7752671881844977,1.2396540641784668,0.5689706413604251,0.001,0.35195696353912354,0.3438144028186798,154.6384993333083
10,2.7304411647219293,1.2012832164764404,0.5786065288527971,0.001,0.34813616711359757,0.33903342485427856,152.34476823073166
11,2.696324986902695,1.195004940032959,0.5579701291211002,0.001,0.3405451728747441,0.33746737241744995,150.09647017258865
12,2.6908388920307975,1.1860368251800537,0.5641914931590284,0.001,0.34508981842261094,0.33225691318511963,147.8915047278771
13,2.6470700695793186,1.20750892162323,0.596258712260866,0.001,0.3390954973605963,0.3292047381401062,145.71845597487228
14,2.6272039282913435,1.1614055633544922,0.6039293971456244,0.001,0.3352764993906021,0.3288780748844147,143.56305283766525
15,2.58748483765383,1.176015853881836,0.6034381588079468,0.001,0.337652536538931,0.32875460386276245,141.43115879939154
16,2.569267208495728,1.2333976030349731,0.5723477996810248,0.001,0.3325379387690471,0.3229421079158783,139.35836733304538
17,2.544878893867216,1.197911024093628,0.5813153863583357,0.001,0.33275282841462356,0.32505232095718384,137.29816554142877
18,2.528966934911977,1.2252264022827148,0.5685526027688023,0.001,0.33199532903157747,0.32481637597084045,135.2658403836764
19,2.4937817422908655,1.2021925449371338,0.5747521532484904,0.001,0.3327229584638889,0.32550543546676636,133.24019740178034
20,2.4694949530353627,1.1861677169799805,0.5827790248789124,0.001,0.32996030954214245,0.3235917091369629,131.26296703632062
21,2.4314866633377394,1.165191411972046,0.5917056751216501,0.0005,0.33016147865698886,0.3230707347393036,129.76266362116888
22,2.414277873229862,1.166481852531433,0.5987356349803543,0.0005,0.33251894322725445,0.32504892349243164,128.79503396841196
23,2.4113376689821293,1.1674031019210815,0.5939366577258751,0.0005,0.33086721713726336,0.3251383304595947,127.83554018460788
24,2.4029489437256952,1.1698137521743774,0.5892370548479635,0.0005,0.3317754990779437,0.325047105550766,126.8816754267766
25,2.3762779549206927,1.1614700555801392,0.5951470943543544,0.0005,0.33164784426872546,0.32548797130584717,125.94413493229793
26,2.374963777768777,1.1643978357315063,0.6098836616533049,0.0005,0.33380274589245135,0.3285101056098938,124.98825777493991
27,2.358651041632252,1.1919397115707397,0.598667441772473,0.0005,0.3369982884480403,0.32911524176597595,124.04887214073769
28,2.3445181317788517,1.1546496152877808,0.5971794741973329,0.0005,0.337498950270506,0.33107584714889526,123.10293226975661
29,2.3433704260515933,1.157442331314087,0.5982877304274323,0.0005,0.3372986293756045,0.3320413827896118,122.17639717688927
30,2.340221352702556,1.1621283292770386,0.6052946749124984,0.0005,0.3393345039624434,0.33227983117103577,121.24042276235727
31,2.333007857521023,1.1612470149993896,0.6066833450129743,0.0005,0.34005074203014374,0.33368027210235596,120.31112436147836
32,2.3168545044456788,1.1620413064956665,0.6096186364582714,0.0005,0.3403479284965075,0.33495375514030457,119.34819646982046
33,2.2926646242395385,1.1546199321746826,0.6072364410522381,0.00025,0.34131037845061374,0.33471518754959106,118.64668332613431
34,2.282706623890293,1.150413990020752,0.604018497557847,0.00025,0.34243777050421786,0.335078626871109,118.19744667640099
35,2.292500321685962,1.1623034477233887,0.6045214913581229,0.00025,0.3410099870883502,0.3354337215423584,117.74372922457181
36,2.3063111125746083,1.1546192169189453,0.5925112870871336,0.00025,0.3427862192575748,0.33682724833488464,117.27071967491737
37,2.2756909348023107,1.1573240756988525,0.5891172483317307,0.00025,0.34332045912742615,0.3373177647590637,116.80594811072716
38,2.271451582784767,1.1545166969299316,0.6006402210817399,0.00025,0.34504651908691114,0.3371967375278473,116.3670167189378
39,2.260515704053356,1.159165382385254,0.5884892770300184,0.000125,0.34370579627844006,0.3366977870464325,116.02857443002554
40,2.2631042308654585,1.1537976264953613,0.5977187096131565,0.000125,0.3421637656596991,0.3372510075569153,115.80518282376804
41,2.2581097592757158,1.1554160118103027,0.5936978672103762,0.000125,0.34621932529486144,0.3371434211730957,115.58144055880032
